Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_adstock_log,Google_Impressions_adstock,Google_Impressions_adstock_log,Email_Impressions_adstock,Email_Impressions_adstock_log,Affiliate_Impressions_adstock,Affiliate_Impressions_adstock_log,Paid_Views_adstock,Paid_Views_adstock_log
A,2018-01-06,392,422,408,349895.0107,73580,12072,682,59417,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,73580.0,11.206142119216047,408.0,6.013715156042802,349895.0107,12.765391277033283,12072.0,9.398726833332388,392.0,5.973809611869261
A,2018-01-13,787,904,110,506270.2176,11804,9499,853,56806,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,48594.0,10.79127592393757,314.0,5.752572638825633,681217.72295,13.43163871263958,15535.0,9.650915190531107,983.0,6.891625897052253
A,2018-01-20,81,970,742,430042.1538,52232,17048,759,48715,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,76529.0,11.245438099803966,899.0,6.802394763324311,770651.0152749999,13.554992208604212,24815.5,10.119264033504772,572.5,6.351757936569426
A,2018-01-27,25,575,65,417745.6658,78640,10207,942,72047,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,116904.5,11.669121195113025,514.5,6.245137303457015,803071.1734374999,13.596199868637777,22614.75,10.026401845191353,311.25,5.743804149005687
A,2018-02-03,565,284,295,408505.8012,40561,5834,658,56235,2,5,2018,0.5680647467311558,0.8229838658936564,0,0,0,0,99013.25,11.503019058152386,552.25,6.315809978931159,810041.3879187499,13.604841856043304,17141.375,9.749308747313355,720.625,6.581505613381098
A,2018-02-10,256,330,683,434729.755,36750,8469,691,56347,2,6,2018,0.6631226582407952,0.7485107481711011,0,0,0,0,86256.625,11.365093736783145,959.125,6.867063484318846,839750.448959375,13.640861232938219,17039.6875,9.74335914581355,616.3125,6.425375378668346
A,2018-02-17,886,56,664,634432.9117,112489,8331,685,81604,2,7,2018,0.7485107481711011,0.6631226582407953,0,0,0,0,155617.3125,11.95516157339024,1143.5625,7.042777746901168,1054308.1361796875,13.868396263163165,16850.84375,9.732215351159413,1194.15625,7.08603220895624
A,2018-02-24,336,99,470,555036.3088,218,6319,569,80492,2,8,2018,0.8229838658936564,0.5680647467311558,0,0,0,0,78026.65625,11.264818610135288,1041.78125,6.949646701460413,1082190.3768898437,13.894498596029146,14744.421875,9.598687932233771,933.078125,6.839560080341022
A,2018-03-03,305,209,501,423690.0837,13065,7898,772,61804,3,9,2018,0.8854560256532098,0.4647231720437686,0,0,0,0,52078.328125,10.860523375973582,1021.890625,6.930387844302182,964785.2721449218,13.779661876148317,15270.2109375,9.63372469680389,771.5390625,6.649682573836508
A,2018-03-10,955,283,609,471730.039,84449,8428,833,64944,3,10,2018,0.9350162426854148,0.35460488704253557,0,0,0,0,110488.1640625,11.61267273234867,1119.9453125,7.021927637314803,954122.6750724609,13.768548580468822,16063.10546875,9.68434258800464,1340.76953125,7.201744567500275
A,2018-03-17,650,466,290,464972.6858,11438,6900,978,62945,3,11,2018,0.970941817426052,0.23931566428755804,0,0,0,0,66682.08203125,11.107706557021068,849.97265625,6.746379996741053,942034.0233362304,13.755797732629803,14931.552734375,9.61129885611705,1320.384765625,7.186435530563835
A,2018-03-24,962,614,605,424832.1916,58830,14151,196,65018,3,12,2018,0.992708874098054,0.120536680255323,0,0,0,0,92171.041015625,11.431412120776656,1029.986328125,6.93827122313854,895849.2032681152,13.705528494127739,21616.7763671875,9.981271235172317,1622.1923828125,7.392150095802529
A,2018-03-31,674,831,762,427351.2598,29536,7840,571,68472,3,13,2018,1.0,-1.6081226496766366e-16,0,0,1,0,75621.5205078125,11.233509408122094,1276.9931640625,7.153046285989293,875275.8614340576,13.682295528359187,18648.38818359375,9.833568619364625,1485.09619140625,7.303907954950023
A,2018-04-07,604,22,130736,418862.0356,91874,6575,737,53473,4,14,2018,0.992708874098054,-0.12053668025532288,0,0,1,0,129684.76025390625,11.772869574407535,131374.49658203125,11.785814888054363,856499.9663170287,13.660610724961703,15899.194091796875,9.674086595165068,1346.548095703125,7.206041994690252
A,2018-04-14,342,432,208099,508059.5563,61025,7733,550,59351,4,15,2018,0.9709418174260521,-0.2393156642875575,0,0,0,0,125867.38012695312,11.742992037789481,273786.2482910156,12.520106617673093,936309.5394585144,13.749702473361026,15682.597045898438,9.660370671032855,1015.2740478515625,6.923898323904619
A,2018-04-21,833,10,209285,412036.2647,38548,8358,792,72647,4,16,2018,0.9350162426854148,-0.35460488704253545,0,0,0,0,101481.69006347656,11.52764352167363,346178.1241455078,12.754711619922038,880191.0344292573,13.68789538359,16199.298522949219,9.69278494839324,1340.6370239257812,7.201645806972117
A,2018-04-28,868,750,232531,473344.0824,27777,8208,905,62975,4,17,2018,0.8854560256532099,-0.4647231720437685,0,0,0,0,78517.84503173828,11.271093939058302,405620.0620727539,12.913174658098152,913439.5996146286,13.724973627633574,16307.64926147461,9.699450875599103,1538.3185119628906,7.339095072765303
A,2018-05-05,20,776,258508,399782.5359,51402,7789,741,73440,5,18,2018,0.8229838658936565,-0.5680647467311557,0,0,0,0,90660.92251586914,11.414892730048395,461318.03103637695,13.04184512392229,856502.3357073143,13.660613491318196,15942.824630737305,9.676826862756457,789.1592559814453,6.672234514994495
A,2018-05-12,704,391,350509,347974.4459,43773,10803,698,73081,5,19,2018,0.7485107481711013,-0.6631226582407951,0,0,0,0,89103.46125793457,11.397564682440384,581168.0155181885,13.272796898035885,776225.6137536571,13.562199784566532,18774.412315368652,9.840303437263032,1098.5796279907227,7.002683229374036
A,2018-05-19,554,21,349590,378663.2045,5457,7350,990,63422,5,20,2018,0.6631226582407952,-0.7485107481711012,0,0,0,0,50008.730628967285,10.819972878055058,640174.0077590942,13.369496867578905,766776.0113768285,13.549951309757464,16737.206157684326,9.725449179262359,1103.2898139953613,7.0069577050635745
A,2018-05-26,903,124,339701,457524.6496,18636,9041,333,65930,5,21,2018,0.5680647467311558,-0.8229838658936564,0,0,0,0,43640.36531448364,10.683760725307378,659788.0038795471,13.399675371798923,840912.6552884143,13.642244264586052,17409.603078842163,9.764834671957935,1454.6449069976807,7.283204316455906
A,2018-06-02,926,139,272962,334461.8929,58676,10338,611,67830,6,22,2018,0.46472317204376906,-0.8854560256532096,0,0,0,1,80496.18265724182,11.295977464747523,602856.0019397736,13.309435303207664,754918.2205442071,13.53436602985036,19042.80153942108,9.854496949099696,1653.3224534988403,7.411146810330411
A,2018-06-09,273,84,260513,376282.2511,95075,9525,481,72316,6,23,2018,0.35460488704253584,-0.9350162426854147,0,0,0,1,135323.0913286209,11.81542785690863,561941.0009698868,13.239153922429027,753741.3613721036,13.532805892805818,19046.40076971054,9.854685928710838,1099.6612267494202,7.003666393415819
A,2018-06-16,929,358,239193,338646.3504,49503,9606,805,66903,6,24,2018,0.23931566428755768,-0.970941817426052,0,0,0,1,117164.54566431046,11.6713431339313,520163.5004849434,13.16190038761685,715517.0310860518,13.480762078340428,19129.20038485527,9.859023537280391,1478.83061337471,7.2996829097857185
A,2018-06-23,261,564,257999,394913.4299,33836,9592,913,68825,6,25,2018,0.12053668025532308,-0.992708874098054,0,0,0,1,92418.27283215523,11.434090816314482,518080.7502424717,13.157888327790422,752671.9454430259,13.531386077030062,19156.600192427635,9.860454792763163,1000.415306687355,6.909169585066977
A,2018-06-30,160,423,300068,372145.5745,41871,12818,413,90421,6,26,2018,-3.216245299353273e-16,-1.0,0,0,0,1,88080.13641607761,11.386013673403221,559108.3751212358,13.234100395111025,748481.547221513,13.525803165564648,22396.300096213818,10.01669569915961,660.2076533436775,6.494067940809822
A,2018-07-07,489,927,398603,323816.9932,38020,9479,574,47768,7,27,2018,-0.12053668025532283,-0.992708874098054,0,0,0,1,82060.0682080388,11.315218983313825,678157.1875606179,13.427135854694987,698057.7668107565,13.456058571339085,20677.15004810691,9.936832868533257,819.1038266718388,6.709430950135416
A,2018-07-14,196,900,465878,463140.8772,157256,9427,468,110359,7,28,2018,-0.23931566428755743,-0.9709418174260521,0,0,0,1,198286.0341040194,12.197470927115612,804956.593780309,13.59854487647936,812169.7606053783,13.607465893346687,19765.575024053454,9.891747660087066,605.5519133359194,6.407790319668996
A,2018-07-21,843,976,375324,351878.9496,120756,8103,121,111259,7,29,2018,-0.3546048870425356,-0.9350162426854148,0,0,0,1,219899.0170520097,12.300928254087232,777802.2968901545,13.564228939432464,757963.8299026892,13.538392265002798,17985.787512026727,9.797392740238873,1145.7759566679597,7.0447097682051645
A,2018-07-28,417,761,365439,367606.8031,87487,8569,470,69277,7,30,2018,-0.46472317204376806,-0.8854560256532101,0,0,0,1,197436.50852600485,12.19317740072775,754340.1484450772,13.533599996183439,746588.7180513446,13.523271073671225,17561.893756013364,9.773543646095995,989.8879783339798,6.898601488923422
A,2018-08-04,971,593,338155,286526.9413,99863,9187,582,73348,8,31,2018,-0.5680647467311556,-0.8229838658936565,0,0,0,1,198581.25426300243,12.198958672436751,715325.0742225386,13.480493765581613,659821.3003256724,13.399725835819693,17967.94687800668,9.796400373608805,1465.94398916699,7.290936596887154
A,2018-08-11,640,296,351992,357211.0809,107090,8296,550,59450,8,32,2018,-0.663122658240795,-0.7485107481711013,0,0,0,1,206380.6271315012,12.23748229279165,709654.5371112693,13.47253497229158,687121.7310628362,13.440268203084141,17279.97343900334,9.757361374047044,1372.971994583495,7.225461090175368
A,2018-08-18,138,245,505429,414114.3816,152851,10638,712,85245,8,33,2018,-0.7485107481711011,-0.6631226582407952,0,0,0,1,256041.3135657506,12.453097997169461,860256.2685556347,13.664986772976702,757675.2471314182,13.538011458782735,19277.98671950167,9.866771010740974,824.4859972917475,6.715972300517039
A,2018-08-25,58,459,514951,419266.8725,295046,10829,438,96340,8,34,2018,-0.8229838658936564,-0.5680647467311559,0,0,0,1,423066.6567828753,12.955287390351739,945079.1342778173,13.759025001058301,798104.496065709,13.589996068277815,20467.993359750835,9.926666501078323,470.24299864587374,6.155373881666971
A,2018-09-01,766,65,560749,331608.5452,236072,10673,511,87248,9,35,2018,-0.8854560256532096,-0.4647231720437691,0,0,0,0,447605.32839143765,13.011669393817362,1033288.5671389087,13.848258025508592,730660.7932328545,13.501705968514145,20906.996679875418,9.947886981035948,1001.1214993229369,6.909874531103116
A,2018-09-08,947,431,525501,347630.9396,283426,8153,706,72504,9,36,2018,-0.9350162426854147,-0.3546048870425359,0,0,0,0,507228.6641957188,13.1367191665852,1042145.2835694543,13.856792878744814,712961.3362164272,13.47718387362029,18606.49833993771,9.831319915019375,1447.5607496614684,7.278325756034115
A,2018-09-15,403,261,598424,338349.1595,199895,7887,128,102759,9,37,2018,-0.970941817426052,-0.23931566428755774,0,0,0,0,453509.3320978594,13.024773331294027,1119496.641784727,13.92839060852898,694829.8276082135,13.45142368140369,17190.249169968854,9.75215576414673,1126.7803748307342,7.02800670993664
A,2018-09-22,111,748,571337,327584.378,236126,6725,903,94933,9,38,2018,-0.992708874098054,-0.12053668025532357,0,0,0,0,462880.6660489297,13.045226719514169,1131085.3208923636,13.938689074813919,674999.2918041068,13.422468402156953,15320.124584984427,9.636987846931046,674.3901874153671,6.515290579293021
A,2018-09-29,441,759,679729,289529.4984,219372,7695,145,99169,9,39,2018,-1.0,-1.8369701987210297e-16,0,0,0,0,450812.33302446484,13.018808637073441,1245271.660446182,14.034865068277432,627029.1443020534,13.348749895496162,15355.062292492214,9.63926561266965,778.1950937076836,6.65826145573212
A,2018-10-06,692,540,652498,265198.8945,95291,6387,804,116818,10,40,2018,-0.992708874098054,0.1205366802553232,0,0,0,0,320697.1665122324,12.67825566852188,1275133.830223091,14.058562480178193,578713.4666510266,13.268564485782436,14064.531146246107,9.551482483897106,1081.0975468538418,6.986656609551507
A,2018-10-13,121,1452,561755,263425.5333,122823,6428,1220,105914,10,41,2018,-0.9709418174260521,0.23931566428755738,0,0,0,0,283171.5832561162,12.553811825578947,1199321.9151115455,13.997267718109354,552782.2666255133,13.222721280763105,13460.265573123053,9.507571623527781,661.5487734269209,6.496094175417589
A,2018-10-20,305,2183,761769,259054.8016,106285,6012,2030,128191,10,42,2018,-0.9350162426854148,0.35460488704253557,0,0,0,0,247870.7916280581,12.420666922230748,1361429.9575557727,14.124046879237797,535445.9349127567,13.190857069492452,12742.132786561528,9.452747800511242,635.7743867134604,6.456415411851686
A,2018-10-27,937,1378,689753,274521.3176,114960,4735,1821,112396,10,43,2018,-0.8854560256532101,0.464723172043768,0,0,0,0,238895.39581402903,12.383785246611687,1370467.9787778864,14.130663559501919,542244.2850563783,13.20347373350402,11106.066393280764,9.315336796756238,1254.8871933567302,7.135597528788182
A,2018-11-03,247,1720,609882,268329.1062,171775,5295,2034,156591,11,44,2018,-0.822983865893657,0.5680647467311548,0,0,0,0,291222.6979070145,12.581846972168668,1295115.9893889432,14.074111588331908,539451.2487281892,13.198309549528012,10848.033196640383,9.291831248697978,874.4435966783651,6.774730725525358
A,2018-11-10,337,4371,1016756,556982.1233,194349,5073,4781,186876,11,45,2018,-0.7485107481711011,0.6631226582407953,0,0,0,0,339960.34895350726,12.736587210581826,1664313.9946944716,14.324924182144562,826707.7476640946,13.62520773260984,10497.016598320191,9.258941622904555,774.2217983391826,6.653149179813796
A,2018-11-17,597,3605,1552213,547177.7689,283528,4760,3978,208474,11,46,2018,-0.6631226582407956,0.7485107481711007,0,0,0,0,453508.17447675363,13.024770778711426,2384369.9973472357,14.684445914752521,960531.6427320472,13.775243245758553,10008.508299160096,9.211290750139765,984.1108991695912,6.89275422282397
A,2018-11-24,798,1815,1709493,557083.5716,743909,4953,3169,338311,11,47,2018,-0.5680647467311559,0.8229838658936564,1,0,0,0,970663.0872383768,13.785735742249027,2901677.998673618,14.880800092480962,1037349.3929660236,13.852180321138414,9957.254149580047,9.206157049027482,1290.0554495847955,7.163215340803285
A,2018-12-01,1738,1511,1160722,688442.588,126493,5750,2574,266300,12,48,2018,-0.4647231720437684,0.88545602565321,1,0,0,0,611824.5436191885,13.324202461411526,2611560.999336809,14.775459067467665,1207117.2844830118,14.00374649402128,10728.627074790023,9.280764079642386,2383.0277247923977,7.77654665764463
A,2018-12-08,24788,1632,558879,425805.1255,68776,5247,26253,187382,12,49,2018,-0.35460488704253595,0.9350162426854147,0,0,0,0,374688.27180959424,12.833852352959013,1864659.4996684045,14.438589556777867,1029363.767741506,13.844452439601376,10611.313537395012,9.269770260372905,25979.513862396198,10.165102069182034
A,2018-12-15,20699,2982,462233,354046.9198,146088,4837,23170,190487,12,50,2018,-0.2393156642875578,0.970941817426052,0,0,0,0,333432.1359047971,12.717197632197012,1394562.7498342022,14.148092200196027,868728.803670753,13.674787428017677,10142.656768697507,9.224603840211175,33688.7569311981,10.42494912150957
A,2018-12-22,9967,3548,405196,345259.3411,60643,5060,12683,109947,12,51,2018,-0.12053668025532363,0.992708874098054,0,1,0,0,227359.06795239856,12.334290242206668,1102477.374917101,13.913071271523107,779623.7429353765,13.566567984099816,10131.328384348753,9.223486421211113,26811.37846559905,10.196618942908549
A,2018-12-29,7077,3641,428545,486211.3229,46804,5208,10368,66448,12,52,2018,6.432490598706546e-16,1.0,0,1,0,0,160483.53397619928,11.985952855390131,979783.6874585506,13.795088119832759,876023.1943676883,13.683148988678324,10273.664192174376,9.237436356803542,20482.689232799523,9.927384201250774
A,2019-01-05,6132,3471,391548,485385.8465,19462,6301,7952,69510,1,1,2019,0.12053668025532305,0.992708874098054,0,0,0,0,99703.76698809964,11.509968768127868,881439.8437292753,13.689313169922997,923397.4436838441,13.735816103634333,11437.832096087188,9.344769170219433,16373.344616399761,9.703471036276525
A,2019-01-12,9731,2608,375771,364144.0227,41106,7589,12014,55500,1,2,2019,0.23931566428755774,0.970941817426052,0,0,0,0,90957.88349404982,11.418162853657458,816490.9218646376,13.612772297730288,825842.744541922,13.624160863351223,13307.916048043593,9.496189469157997,17917.67230819988,9.793598593839922
A,2019-01-19,9712,1968,404244,456347.5893,85338,9046,12311,82436,1,3,2019,0.3546048870425356,0.9350162426854148,0,0,0,0,130816.94174702492,11.781561877918147,812489.4609323188,13.60785945272612,869268.9615709609,13.67540901373754,15699.958024021797,9.661477010113048,18670.83615409994,9.834771579536035
A,2019-01-26,11771,3519,386823,372105.2166,276066,11929,14949,70817,1,4,2019,0.4647231720437685,0.8854560256532099,0,0,0,0,341474.47087351244,12.741031127810071,793067.7304661594,13.583665168319188,806739.6973854804,13.600757578872182,19778.9790120109,9.892425544104901,21106.41807704997,9.957379825311438
A,2019-02-02,6761,2397,463446,357294.6322,200653,10255,8855,68198,2,5,2019,0.5680647467311558,0.8229838658936564,0,0,0,0,371390.2354367562,12.825011328905962,859979.8652330798,13.664665418253184,760664.4808927402,13.541948961873405,20144.489506005448,9.910735696461797,17314.209038524983,9.759340529447735
A,2019-02-09,8520,2620,367753,359403.8152,114913,9686,10207,64101,2,6,2019,0.6631226582407952,0.7485107481711011,0,0,0,0,300608.1177183781,12.613566087572146,797742.9326165399,13.589542938491435,739736.0556463702,13.514050071828008,19758.244753002724,9.891376749569531,17177.10451926249,9.751390858791446
A,2019-02-16,12710,3839,299212,459177.9556,123603,9054,16079,103598,2,7,2019,0.7485107481711011,0.6631226582407953,0,0,0,0,273907.05885918904,12.52054777745137,698083.4663082699,13.456095386326126,829045.9834231851,13.628032107328345,18933.122376501364,9.848720989987974,21298.552259631244,9.96644133080199
A,2019-02-23,5701,3091,318287,301736.0446,42684,8391,6999,81055,2,8,2019,0.8229838658936564,0.5680647467311558,0,0,0,0,179637.52942959452,12.098701940960165,667328.7331541349,13.411039555300718,716259.0363115926,13.481798559215314,17857.561188250682,9.790238290617042,16350.276129815622,9.702061224032846
A,2019-03-02,500,2885,447543,413408.4366,22730,8887,2863,74590,3,9,2019,0.8854560256532098,0.4647231720437686,0,0,0,0,112548.76471479726,11.631150755837778,781207.3665770674,13.56859718783139,771537.9547557964,13.556142441741118,17815.78059412534,9.787896022196367,8675.138064907811,9.068331785248896
A,2019-03-09,620,2187,456481,386117.044,36033,8725,2269,59796,3,10,2019,0.9350162426854148,0.35460488704253557,0,0,0,0,92307.38235739863,11.432890232807235,847084.6832885337,13.649557129425132,771886.0213778982,13.556593472931969,17632.89029706267,9.777577914524223,4957.5690324539055,8.508872476573012
A,2019-03-16,401,4223,484186,354992.1769,67296,11077,4330,87191,3,11,2019,0.970941817426052,0.23931566428755804,0,0,0,0,113449.69117869932,11.639123582553461,907728.3416442669,13.718701531258619,740935.1875889491,13.515669783955872,19893.445148531333,9.89819583348149,2879.7845162269527,7.96581793750314
A,2019-03-23,784,5680,553451,355042.2755,79074,9375,6455,82885,3,12,2019,0.992708874098054,0.120536680255323,0,0,0,0,135798.84558934966,11.818937357061532,1007315.1708221334,13.822800095432545,725509.8692944746,13.494631332992189,19321.722574265666,9.869037017831266,2223.8922581134766,7.707463770108108
A,2019-03-30,554,7524,390828,435632.5112,108523,8684,7543,67061,3,13,2019,1.0,-1.6081226496766366e-16,0,0,0,0,176422.4227946748,12.080642196022778,894485.5854110667,13.704005185072866,798387.4458472372,13.590350532240453,18344.861287132833,9.817159285108543,1665.9461290567383,7.418748566125881
A,2019-04-06,3179,8439,432125,364178.8038,57047,8476,11929,79718,4,14,2019,0.992708874098054,-0.12053668025532288,0,0,0,0,145258.2113973374,11.886275090240957,879367.7927055333,13.686959648068843,763372.5267236186,13.545502740572525,17648.43064356642,9.77845880368626,4011.973064528369,8.297287658190658
A,2019-04-13,4026,7447,510358,354103.6537,88100,7432,11555,55278,4,15,2019,0.9709418174260521,-0.2393156642875575,0,0,0,0,160729.1056986687,11.987481875179276,950041.8963527667,13.764262416612853,735789.9170618093,13.50870127727356,16256.21532178321,9.696292109012305,6031.9865322641845,8.70499744609353
A,2019-04-20,6957,8715,546329,383993.2553,125562,7300,14161,75983,4,16,2019,0.9350162426854148,-0.35460488704253545,0,0,1,0,205926.55284933434,12.23527970071857,1021349.9481763833,13.836636767934774,751888.2138309047,13.53034427004565,15428.107660891605,9.644011112245604,9972.993266132093,9.20773631096368
