Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_lag_1,Google_Impressions_adstock,Google_Impressions_lag_1,Email_Impressions_adstock,Email_Impressions_lag_1,Affiliate_Impressions_adstock,Affiliate_Impressions_lag_1,Paid_Views_adstock,Paid_Views_lag_1
C,2018-01-06,228,393,318,74238.21215,15186,4361,843,39282,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,51976.0,73580.0,522.0,408.0,249185.7175,349895.0107,10397.0,12072.0,424.0,392.0
D,2018-01-06,802,565,204,858341.8388,200836,54641,369,125776,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,226824.0,15186.0,465.0,318.0,982934.69755,74238.21215,59839.5,4361.0,1014.0,228.0
Z,2018-01-06,165,346,440,939300.8528,156226,43811,223,113911,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,269638.0,200836.0,672.5,204.0,1430768.201575,858341.8388,73730.75,54641.0,672.0,802.0
E,2018-01-06,291,146,151,1363086.876,326747,83310,576,287095,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,461566.0,156226.0,487.25,440.0,2078470.9767875,939300.8528,120175.375,43811.0,627.0,165.0
Y,2018-01-06,309,688,386,280251.4866,53351,17632,968,50834,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,284134.0,326747.0,629.625,151.0,1319486.97499375,1363086.876,77719.6875,83310.0,622.5,291.0
F,2018-01-06,75,240,821,457480.5307,86138,32560,238,68266,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,228205.0,53351.0,1135.8125,386.0,1117224.018196875,280251.4866,71419.84375,17632.0,386.25,309.0
X,2018-01-06,642,852,200,378738.4285,57848,17072,473,62450,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,171950.5,86138.0,767.90625,821.0,937350.4375984375,457480.5307,52781.921875,32560.0,835.125,75.0
G,2018-01-06,477,992,137,839273.9436,151849,58209,883,119640,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,237824.25,57848.0,520.953125,200.0,1307949.1623992189,378738.4285,84599.9609375,17072.0,894.5625,642.0
H,2018-01-06,245,342,838,356965.3929,86418,21437,982,54781,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,205330.125,151849.0,1098.4765625,137.0,1010939.9740996094,839273.9436,63736.98046875,58209.0,692.28125,477.0
W,2018-01-06,413,369,520,498584.7723,79047,40036,716,61445,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,181712.0625,86418.0,1069.23828125,838.0,1004054.7593498047,356965.3929,71904.490234375,21437.0,759.140625,245.0
I,2018-01-06,842,192,957,513421.5453,83201,35192,223,67174,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,174057.03125,79047.0,1491.619140625,520.0,1015448.9249749023,498584.7723,71144.2451171875,40036.0,1221.5703125,413.0
V,2018-01-06,736,332,668,1152115.075,225511,64580,901,170591,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,312539.515625,83201.0,1413.8095703125,957.0,1659839.537487451,513421.5453,100152.12255859375,35192.0,1346.78515625,842.0
J,2018-01-06,152,740,708,381381.4745,56793,21507,886,48639,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,213062.7578125,225511.0,1414.90478515625,668.0,1211301.2432437255,1152115.075,71583.06127929688,64580.0,825.392578125,736.0
K,2018-01-06,203,408,930,542559.8749,103925,28172,952,86182,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,210456.37890625,56793.0,1637.452392578125,708.0,1148210.4965218627,381381.4745,63963.53063964844,21507.0,615.6962890625,152.0
U,2018-01-06,448,44,929,335335.1965,87273,22112,899,49474,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,192501.189453125,103925.0,1747.7261962890625,930.0,909440.4447609314,542559.8749,54093.76531982422,28172.0,755.84814453125,203.0
L,2018-01-06,233,361,992,897379.7817,148385,29779,477,144561,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,244635.5947265625,87273.0,1865.8630981445312,929.0,1352100.0040804658,335335.1965,56825.88265991211,22112.0,610.924072265625,448.0
T,2018-01-06,866,525,642,132521.1736,26827,7944,698,26453,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,149144.79736328125,148385.0,1574.9315490722656,992.0,808571.1756402329,897379.7817,36356.941329956055,29779.0,1171.4620361328125,233.0
M,2018-01-06,199,4,16,464484.491,97056,31699,731,61417,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,171628.39868164062,26827.0,803.4657745361328,642.0,868770.0788201164,132521.1736,49877.47066497803,7944.0,784.7310180664062,866.0
N,2018-01-06,720,254,928,808993.799,116533,42869,318,128629,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,202347.1993408203,97056.0,1329.7328872680664,16.0,1243378.838410058,464484.491,67807.73533248901,31699.0,1112.3655090332031,199.0
